px_t,py_t,v_t,psi_t,omega_t,a_t,delta_t,px_t1,py_t1,v_t1,psi_t1,omega_t1
1.6283941778255697,-1.6885662210319428,31.622776601683793,-0.1,-10.0,-0.2882420091324201,-0.0009710997568900206,1.6283989560519363,-1.6887337353544731,31.622776601683793,-0.2,-10.0
1.6283989560519363,-1.6887337353544731,31.622776601683793,-0.2,-10.0,-0.25790074501321797,-0.0008688787843231661,1.628401594597628,-1.6889041832600535,31.622776601683793,-0.3,-10.0
1.628401594597628,-1.6889041832600535,31.622776601683793,-0.3,-10.0,-0.2275594808940159,-0.000766657793598254,1.6284020670991686,-1.6890758616895543,31.622776601683793,-0.4,-10.0
1.6284020670991686,-1.6890758616895543,31.622776601683793,-0.4,-10.0,-0.19721821677481374,-0.0006644367868515208,1.6284003688354782,-1.6892470552888568,31.622776601683793,-0.5,-10.0
1.6284003688354782,-1.6892470552888568,31.622776601683793,-0.5,-10.0,-0.16687695265561164,-0.0005622157662192056,1.6283965167750467,-1.689416053548106,31.622776601683793,-0.6,-10.0
1.6283965167750467,-1.689416053548106,31.622776601683793,-0.6,-10.0,-0.13653568853640954,-0.00045999473383754854,1.6283905494063888,-1.6895811678925592,31.622776601683793,-0.7000000000000001,-10.0
1.6283905494063888,-1.6895811678925592,31.622776601683793,-0.7000000000000001,-10.0,-0.1061944244172074,-0.0003577736918427917,1.6283825263534792,-1.6897407485542657,31.622776601683793,-0.8,-10.0
1.6283825263534792,-1.6897407485542657,31.622776601683793,-0.8,-10.0,-0.07585316029800529,-0.00025555264237117815,1.6283725277800107,-1.6898932010560042,31.622776601683793,-0.9,-10.0
1.6283725277800107,-1.6898932010560042,31.622776601683793,-0.9,-10.0,-0.045511896178803184,-0.00015333158755895205,1.6283606535884243,-1.6900370021427717,31.622776601683793,-1.0,-10.0
1.6283606535884243,-1.6900370021427717,31.622776601683793,-1.0,-10.0,-0.015170632059601064,-5.111052954235819e-05,1.6283470224217171,-1.6901707150016432,31.622776601683793,-1.1,-10.0
1.6283470224217171,-1.6901707150016432,31.622776601683793,-1.1,-10.0,0.01517063205960103,5.111052954235819e-05,1.6283317704780012,-1.6902930036179327,31.622776601683793,-1.2,-10.0
1.6283317704780012,-1.6902930036179327,31.622776601683793,-1.2,-10.0,0.04551189617880315,0.00015333158755895205,1.6283150501496562,-1.6904026461242094,31.622776601683793,-1.3,-10.0
1.6283150501496562,-1.6904026461242094,31.622776601683793,-1.3,-10.0,0.07585316029800529,0.00025555264237117815,1.6282970285006761,-1.6904985470087939,31.622776601683793,-1.4000000000000001,-10.0
1.6282970285006761,-1.6904985470087939,31.622776601683793,-1.4000000000000001,-10.0,0.1061944244172074,0.00035777369184279164,1.6282778855974207,-1.6905797480617473,31.622776601683793,-1.5,-10.0
1.6282778855974207,-1.6905797480617473,31.622776601683793,-1.5,-10.0,0.13653568853640954,0.00045999473383754864,1.6282578127094511,-1.6906454379489906,31.622776601683793,-1.6,-10.0
1.6282578127094511,-1.6906454379489906,31.622776601683793,-1.6,-10.0,0.16687695265561164,0.0005622157662192056,1.628237010398429,-1.6906949603188843,31.622776601683793,-1.7,-10.0
1.628237010398429,-1.6906949603188843,31.622776601683793,-1.7,-10.0,0.19721821677481371,0.0006644367868515209,1.6282156865141693,-1.6907278203602785,31.622776601683793,-1.8,-10.0
1.6282156865141693,-1.6907278203602785,31.622776601683793,-1.8,-10.0,0.22755948089401587,0.000766657793598254,1.6281940541178752,-1.6907436897465018,31.622776601683793,-1.9000000000000001,-10.0
1.6281940541178752,-1.6907436897465018,31.622776601683793,-1.9000000000000001,-10.0,0.25790074501321797,0.0008688787843231663,1.6281723293533,-1.6907424099158925,31.622776601683793,-2.0,-10.0
1.6281723293533,-1.6907424099158925,31.622776601683793,-2.0,-10.0,0.2882420091324201,0.0009710997568900206,1.6281507292871094,-1.6907239936560954,31.622776601683793,-2.0894736842105264,-8.947368421052632
1.6281507292871094,-1.6907239936560954,31.622776601683793,-2.0894736842105264,-8.947368421052632,-0.2882420091324201,-0.0009710997568900206,1.628129423816203,-1.6906903957153143,31.622776601683793,-2.1789473684210527,-8.947368421052632
1.628129423816203,-1.6906903957153143,31.622776601683793,-2.1789473684210527,-8.947368421052632,-0.25790074501321797,-0.0008688787843231661,1.6281085833886273,-1.6906418848838252,31.622776601683793,-2.268421052631579,-8.947368421052632
1.6281085833886273,-1.6906418848838252,31.622776601683793,-2.268421052631579,-8.947368421052632,-0.2275594808940159,-0.000766657793598254,1.6280883747319896,-1.6905788492580232,31.622776601683793,-2.357894736842105,-8.947368421052632
1.6280883747319896,-1.6905788492580232,31.622776601683793,-2.357894736842105,-8.947368421052632,-0.19721821677481374,-0.0006644367868515208,1.6280689595196018,-1.6905017931355772,31.622776601683793,-2.4473684210526314,-8.947368421052632
1.6280689595196018,-1.6905017931355772,31.622776601683793,-2.4473684210526314,-8.947368421052632,-0.16687695265561164,-0.0005622157662192056,1.6280504930770632,-1.690411332980945,31.622776601683793,-2.536842105263158,-8.947368421052632
1.6280504930770632,-1.690411332980945,31.622776601683793,-2.536842105263158,-8.947368421052632,-0.13653568853640954,-0.00045999473383754854,1.6280331231396232,-1.6903081924935335,31.622776601683793,-2.6263157894736846,-8.947368421052632
1.6280331231396232,-1.6903081924935335,31.622776601683793,-2.6263157894736846,-8.947368421052632,-0.1061944244172074,-0.0003577736918427917,1.628016988670271,-1.6901931968179607,31.622776601683793,-2.715789473684211,-8.947368421052632
1.628016988670271,-1.6901931968179607,31.622776601683793,-2.715789473684211,-8.947368421052632,-0.07585316029800529,-0.00025555264237117815,1.6280022187480012,-1.6900672659427294,31.622776601683793,-2.805263157894738,-8.947368421052632
1.6280022187480012,-1.6900672659427294,31.622776601683793,-2.805263157894738,-8.947368421052632,-0.045511896178803184,-0.00015333158755895205,1.6279889315351597,-1.6899314073401375,31.622776601683793,-2.894736842105264,-8.947368421052632
1.6279889315351597,-1.6899314073401375,31.622776601683793,-2.894736842105264,-8.947368421052632,-0.015170632059601064,-5.111052954235819e-05,1.6279772333321179,-1.689786707906295,31.622776601683793,-2.984210526315791,-8.947368421052632
1.6279772333321179,-1.689786707906295,31.622776601683793,-2.984210526315791,-8.947368421052632,0.01517063205960103,5.111052954235819e-05,1.62796721772685,-1.6896343252657384,31.622776601683793,-3.0736842105263174,-8.947368421052632
1.62796721772685,-1.6896343252657384,31.622776601683793,-3.0736842105263174,-8.947368421052632,0.04551189617880315,0.00015333158755895205,1.62795896484621,-1.689475478510201,31.622776601683793,-3.163157894736844,-8.947368421052632
1.62795896484621,-1.689475478510201,31.622776601683793,-3.163157894736844,-8.947368421052632,0.07585316029800529,0.00025555264237117815,1.6279525407149007,-1.6893114384456347,31.622776601683793,-3.2526315789473705,-8.947368421052632
